fecha,Estación,Precipitación
2011-02-12,Holt Ibicuy - Comisaría,---mm
2011-02-12,Mazaruca - Destacamento,---mm
2011-02-12,Villa Paranacito - Prefectura,---mm
2011-02-18,Brazo Largo - Puesto Caminero,48mm
2011-02-18,Holt Ibicuy - Comisaría,50mm
2011-02-18,Mazaruca - Destacamento,50mm
2011-02-18,Villa Paranacito - Prefectura,40mm
2011-02-19,Brazo Largo - Puesto Caminero,48mm
2011-02-19,Holt Ibicuy - Comisaría,50mm
2011-02-19,Mazaruca - Destacamento,50mm
2011-02-19,Villa Paranacito - Prefectura,40mm
2011-02-20,Brazo Largo - Puesto Caminero,---mm
2011-02-20,Holt Ibicuy - Comisaría,---mm
2011-02-20,Mazaruca - Destacamento,---mm
2011-02-20,Villa Paranacito - Prefectura,---mm
2011-02-21,Brazo Largo - Puesto Caminero,---mm
2011-02-21,Holt Ibicuy - Comisaría,---mm
2011-02-21,Mazaruca - Destacamento,---mm
2011-02-21,Villa Paranacito - Prefectura,---mm
2011-02-22,Brazo Largo - Puesto Caminero,15mm
2011-02-22,Holt Ibicuy - Comisaría,15mm
2011-02-22,Mazaruca - Destacamento,10mm
2011-02-22,Villa Paranacito - Prefectura,6mm
2011-02-23,Brazo Largo - Puesto Caminero,---mm
2011-02-23,Holt Ibicuy - Comisaría,---mm
2011-02-23,Mazaruca - Destacamento,---mm
2011-02-23,Villa Paranacito - Prefectura,---mm
2011-03-12,Brazo Largo - Puesto Caminero,18mm
2011-03-12,Holt Ibicuy - Comisaría,8mm
2011-03-12,Mazaruca - Destacamento,7mm
2011-03-12,Villa Paranacito - Prefectura,19mm
2011-03-16,Brazo Largo - Puesto Caminero,---mm
2011-03-16,Holt Ibicuy - Comisaría,---mm
2011-03-16,Mazaruca - Destacamento,---mm
2011-03-16,Villa Paranacito - Prefectura,---mm
2011-03-17,Brazo Largo - Puesto Caminero,7mm
2011-03-17,Holt Ibicuy - Comisaría,---mm
2011-03-17,Mazaruca - Destacamento,---mm
2011-03-17,Villa Paranacito - Prefectura,6mm
2011-03-23,Brazo Largo - Puesto Caminero,18mm
2011-03-23,Holt Ibicuy - Comisaría,16mm
2011-03-23,Mazaruca - Destacamento,16mm
2011-03-23,Villa Paranacito - Prefectura,14mm
2011-03-24,Brazo Largo - Puesto Caminero,11mm
2011-03-24,Holt Ibicuy - Comisaría,11mm
2011-03-24,Mazaruca - Destacamento,8mm
2011-03-24,Villa Paranacito - Prefectura,2mm
2011-03-26,Brazo Largo - Puesto Caminero,2mm
2011-03-26,Holt Ibicuy - Comisaría,2mm
2011-03-26,Mazaruca - Destacamento,2mm
2011-03-26,Villa Paranacito - Prefectura,1mm
2011-04-02,Brazo Largo - Puesto Caminero,5mm
2011-04-02,Holt Ibicuy - Comisaría,6mm
2011-04-02,Mazaruca - Destacamento,6mm
2011-04-02,Villa Paranacito - Prefectura,15mm
2011-04-03,Brazo Largo - Puesto Caminero,---mm
2011-04-03,Holt Ibicuy - Comisaría,---mm
2011-04-03,Mazaruca - Destacamento,---mm
2011-04-03,Villa Paranacito - Prefectura,---mm
2011-04-13,Brazo Largo - Puesto Caminero,---mm
2011-04-13,Holt Ibicuy - Comisaría,---mm
2011-04-13,Mazaruca - Destacamento,---mm
2011-04-13,Villa Paranacito - Prefectura,---mm
2011-04-14,Brazo Largo - Puesto Caminero,---mm
2011-04-14,Holt Ibicuy - Comisaría,---mm
2011-04-14,Mazaruca - Destacamento,---mm
2011-04-14,Villa Paranacito - Prefectura,---mm
2011-04-15,Brazo Largo - Puesto Caminero,4mm
2011-04-15,Holt Ibicuy - Comisaría,3mm
2011-04-15,Mazaruca - Destacamento,3mm
2011-04-15,Villa Paranacito - Prefectura,4mm
2011-04-17,Brazo Largo - Puesto Caminero,---mm
2011-04-17,Holt Ibicuy - Comisaría,---mm
2011-04-17,Mazaruca - Destacamento,---mm
2011-04-17,Villa Paranacito - Prefectura,---mm
2011-04-20,Brazo Largo - Puesto Caminero,5mm
2011-04-20,Holt Ibicuy - Comisaría,15mm
2011-04-20,Mazaruca - Destacamento,12mm
2011-04-20,Villa Paranacito - Prefectura,15mm
2011-04-21,Brazo Largo - Puesto Caminero,---mm
2011-04-21,Holt Ibicuy - Comisaría,---mm
2011-04-21,Mazaruca - Destacamento,---mm
2011-04-21,Villa Paranacito - Prefectura,---mm
2011-04-29,Brazo Largo - Puesto Caminero,20mm
2011-04-29,Holt Ibicuy - Comisaría,43mm
2011-04-29,Mazaruca - Destacamento,40mm
2011-04-29,Villa Paranacito - Prefectura,20mm
2011-05-01,Brazo Largo - Puesto Caminero,---mm
2011-05-01,Holt Ibicuy - Comisaría,---mm
2011-05-01,Mazaruca - Destacamento,---mm
2011-05-01,Villa Paranacito - Prefectura,---mm
2011-05-14,Brazo Largo - Puesto Caminero,---mm
2011-05-14,Holt Ibicuy - Comisaría,---mm
2011-05-14,Mazaruca - Destacamento,---mm
2011-05-14,Villa Paranacito - Prefectura,---mm
2011-05-15,Brazo Largo - Puesto Caminero,---mm
2011-05-15,Holt Ibicuy - Comisaría,---mm
2011-05-15,Mazaruca - Destacamento,---mm
2011-05-15,Villa Paranacito - Prefectura,---mm
2011-05-22,Brazo Largo - Puesto Caminero,---mm
2011-05-22,Holt Ibicuy - Comisaría,---mm
2011-05-22,Mazaruca - Destacamento,---mm
2011-05-22,Villa Paranacito - Prefectura,---mm
2011-05-24,Brazo Largo - Puesto Caminero,40mm
2011-05-24,Holt Ibicuy - Comisaría,49mm
2011-05-24,Mazaruca - Destacamento,47mm
2011-05-24,Villa Paranacito - Prefectura,58mm
2011-05-25,Brazo Largo - Puesto Caminero,---mm
2011-05-25,Holt Ibicuy - Comisaría,---mm
2011-05-25,Mazaruca - Destacamento,---mm
2011-05-25,Villa Paranacito - Prefectura,---mm
2011-06-06,Brazo Largo - Puesto Caminero,5mm
2011-06-06,Holt Ibicuy - Comisaría,8mm
2011-06-06,Mazaruca - Destacamento,5mm
2011-06-06,Villa Paranacito - Prefectura,7mm
2011-06-15,Brazo Largo - Puesto Caminero,---mm
2011-06-15,Holt Ibicuy - Comisaría,---mm
2011-06-15,Mazaruca - Destacamento,---mm
2011-06-15,Villa Paranacito - Prefectura,---mm
2011-06-17,Brazo Largo - Puesto Caminero,---mm
