fecha,Estación,Precipitación
2010-09-22,Estacas - Destacamento 53,---mm
2010-09-22,Estaquitas - Comisaría Nº 27,---mm
2010-09-22,La Lila - Particular,---mm
2010-09-22,La Paz - Comisaría 1º,---mm
2010-09-22,La Paz - Subprefectura,---mm
2010-09-22,Las Toscas - Destacamento Nº 54,---mm
2010-09-22,Paso Telegrafo - Puesto Caminero,---mm
2010-09-22,Piedras Blancas,---mm
2010-09-22,San Gustavo - Comisaría,---mm
2010-09-22,Santa Elena - Prefectura,---mm
2010-09-22,Tacuara Ombú - Comisaría Nº 24,---mm
2010-09-22,Tacuara Yacaré - Comisaría Nº 23,---mm
2010-09-22,Villa Alcaraz - Comisaría,---mm
2010-09-22,Yeso Oeste -  Subcomisaría Nº 26,---mm
2010-09-27,Alcaraz Sur - Destacamento,---mm
2010-09-27,Bovril - Comisaría,15mm
2010-09-27,Colonia Avigdor,---mm
2010-09-27,Colonia Oficial Nº 3,---mm
2010-09-27,El Carmen - Yeso Oeste,---mm
2010-09-27,El Quebracho - Destacamento Santa Elena,---mm
2010-09-27,Estacas - Destacamento 53,---mm
2010-09-27,Estaquitas - Comisaría Nº 27,18mm
2010-09-27,La Lila - Particular,---mm
2010-09-27,La Paz - Comisaría 1º,28mm
2010-09-27,La Paz - Subprefectura,---mm
2010-09-27,Las Toscas - Destacamento Nº 54,---mm
2010-09-27,Paso Telegrafo - Puesto Caminero,---mm
2010-09-27,Piedras Blancas,10mm
2010-09-27,San Gustavo - Comisaría,5mm
2010-09-27,Santa Elena - Prefectura,8mm
2010-09-27,Tacuara Ombú - Comisaría Nº 24,---mm
2010-09-27,Tacuara Yacaré - Comisaría Nº 23,15mm
2010-09-27,Villa Alcaraz - Comisaría,12mm
2010-09-27,Yeso Oeste -  Subcomisaría Nº 26,17mm
2010-09-28,Alcaraz Sur - Destacamento,---mm
2010-09-28,Bovril - Comisaría,---mm
2010-09-28,Colonia Avigdor,---mm
2010-09-28,Colonia Oficial Nº 3,---mm
2010-09-28,El Carmen - Yeso Oeste,---mm
2010-09-28,El Quebracho - Destacamento Santa Elena,---mm
2010-09-28,Estacas - Destacamento 53,---mm
2010-09-28,Estaquitas - Comisaría Nº 27,---mm
2010-09-28,La Lila - Particular,---mm
2010-09-28,La Paz - Comisaría 1º,---mm
2010-09-28,La Paz - Subprefectura,---mm
2010-09-28,Las Toscas - Destacamento Nº 54,---mm
2010-09-28,Paso Telegrafo - Puesto Caminero,---mm
2010-09-28,Piedras Blancas,---mm
2010-09-28,San Gustavo - Comisaría,---mm
2010-09-28,Santa Elena - Prefectura,---mm
2010-09-28,Tacuara Ombú - Comisaría Nº 24,---mm
2010-09-28,Tacuara Yacaré - Comisaría Nº 23,---mm
2010-09-28,Villa Alcaraz - Comisaría,---mm
2010-09-28,Yeso Oeste -  Subcomisaría Nº 26,---mm
2010-10-01,Alcaraz Sur - Destacamento,---mm
2010-10-01,Bovril - Comisaría,---mm
2010-10-01,Colonia Avigdor,---mm
2010-10-01,Colonia Oficial Nº 3,---mm
2010-10-01,El Carmen - Yeso Oeste,---mm
2010-10-01,El Quebracho - Destacamento Santa Elena,---mm
2010-10-01,Estacas - Destacamento 53,---mm
2010-10-01,Estaquitas - Comisaría Nº 27,---mm
2010-10-01,La Lila - Particular,---mm
2010-10-01,La Paz - Comisaría 1º,---mm
2010-10-01,La Paz - Subprefectura,---mm
2010-10-01,Las Toscas - Destacamento Nº 54,---mm
2010-10-01,Paso Telegrafo - Puesto Caminero,---mm
2010-10-01,Piedras Blancas,---mm
2010-10-01,San Gustavo - Comisaría,---mm
2010-10-01,Santa Elena - Prefectura,---mm
2010-10-01,Tacuara Ombú - Comisaría Nº 24,---mm
2010-10-01,Tacuara Yacaré - Comisaría Nº 23,---mm
2010-10-01,Villa Alcaraz - Comisaría,---mm
2010-10-01,Yeso Oeste -  Subcomisaría Nº 26,---mm
2010-10-06,Alcaraz Sur - Destacamento,---mm
2010-10-06,Bovril - Comisaría,---mm
2010-10-06,Colonia Avigdor,---mm
2010-10-06,Colonia Oficial Nº 3,---mm
2010-10-06,El Carmen - Yeso Oeste,---mm
2010-10-06,El Quebracho - Destacamento Santa Elena,---mm
2010-10-06,Estacas - Destacamento 53,---mm
2010-10-06,Estaquitas - Comisaría Nº 27,---mm
2010-10-06,La Lila - Particular,---mm
2010-10-06,La Paz - Comisaría 1º,---mm
2010-10-06,La Paz - Subprefectura,---mm
2010-10-06,Las Toscas - Destacamento Nº 54,---mm
2010-10-06,Paso Telegrafo - Puesto Caminero,---mm
2010-10-06,Piedras Blancas,---mm
2010-10-06,San Gustavo - Comisaría,---mm
2010-10-06,Santa Elena - Prefectura,---mm
2010-10-06,Tacuara Ombú - Comisaría Nº 24,---mm
2010-10-06,Tacuara Yacaré - Comisaría Nº 23,---mm
2010-10-06,Villa Alcaraz - Comisaría,---mm
2010-10-06,Yeso Oeste -  Subcomisaría Nº 26,---mm
2010-10-14,Alcaraz Sur - Destacamento,---mm
2010-10-14,Bovril - Comisaría,---mm
2010-10-14,Colonia Avigdor,---mm
2010-10-14,Colonia Oficial Nº 3,---mm
2010-10-14,El Carmen - Yeso Oeste,---mm
2010-10-14,El Quebracho - Destacamento Santa Elena,---mm
2010-10-14,Estacas - Destacamento 53,---mm
2010-10-14,Estaquitas - Comisaría Nº 27,---mm
2010-10-14,La Lila - Particular,---mm
2010-10-14,La Paz - Comisaría 1º,---mm
2010-10-14,La Paz - Subprefectura,---mm
2010-10-14,Las Toscas - Destacamento Nº 54,---mm
2010-10-14,Paso Telegrafo - Puesto Caminero,---mm
2010-10-14,Piedras Blancas,---mm
2010-10-14,San Gustavo - Comisaría,---mm
2010-10-14,Santa Elena - Prefectura,---mm
2010-10-14,Tacuara Ombú - Comisaría Nº 24,---mm
2010-10-14,Tacuara Yacaré - Comisaría Nº 23,---mm
2010-10-14,Villa Alcaraz - Comisaría,---mm
2010-10-14,Yeso Oeste -  Subcomisaría Nº 26,---mm
2010-10-22,Alcaraz Sur - Destacamento,---mm
2010-10-22,Bovril - Comisaría,---mm
2010-10-22,Colonia Avigdor,---mm
2010-10-22,Colonia Oficial Nº 3,---mm
2010-10-22,El Carmen - Yeso Oeste,---mm
2010-10-22,El Quebracho - Destacamento Santa Elena,---mm
2010-10-22,Estacas - Destacamento 53,---mm
2010-10-22,Estaquitas - Comisaría Nº 27,---mm
2010-10-22,La Lila - Particular,---mm
2010-10-22,La Paz - Comisaría 1º,---mm
2010-10-22,La Paz - Subprefectura,---mm
2010-10-22,Las Toscas - Destacamento Nº 54,---mm
2010-10-22,Paso Telegrafo - Puesto Caminero,---mm
2010-10-22,Piedras Blancas,---mm
2010-10-22,San Gustavo - Comisaría,---mm
2010-10-22,Santa Elena - Prefectura,---mm
2010-10-22,Tacuara Ombú - Comisaría Nº 24,---mm
2010-10-22,Tacuara Yacaré - Comisaría Nº 23,---mm
2010-10-22,Villa Alcaraz - Comisaría,---mm
2010-10-22,Yeso Oeste -  Subcomisaría Nº 26,---mm
2010-10-29,Alcaraz Sur - Destacamento,---mm
2010-10-29,Bovril - Comisaría,---mm
2010-10-29,Colonia Avigdor,---mm
2010-10-29,Colonia Oficial Nº 3,---mm
2010-10-29,El Carmen - Yeso Oeste,7mm
2010-10-29,El Quebracho - Destacamento Santa Elena,10mm
2010-10-29,Estacas - Destacamento 53,9mm
2010-10-29,Estaquitas - Comisaría Nº 27,---mm
2010-10-29,La Lila - Particular,---mm
2010-10-29,La Paz - Comisaría 1º,10mm
2010-10-29,La Paz - Subprefectura,---mm
2010-10-29,Las Toscas - Destacamento Nº 54,6mm
2010-10-29,Paso Telegrafo - Puesto Caminero,4mm
2010-10-29,Piedras Blancas,10mm
2010-10-29,San Gustavo - Comisaría,6mm
2010-10-29,Santa Elena - Prefectura,---mm
2010-10-29,Tacuara Ombú - Comisaría Nº 24,9mm
2010-10-29,Tacuara Yacaré - Comisaría Nº 23,5mm
2010-10-29,Villa Alcaraz - Comisaría,---mm
2010-10-29,Yeso Oeste -  Subcomisaría Nº 26,---mm
2010-11-04,Alcaraz Sur - Destacamento,---mm
2010-11-04,Bovril - Comisaría,---mm
2010-11-04,Colonia Avigdor,---mm
2010-11-04,Colonia Oficial Nº 3,---mm
2010-11-04,El Carmen - Yeso Oeste,---mm
2010-11-04,El Quebracho - Destacamento Santa Elena,---mm
2010-11-04,Estacas - Destacamento 53,---mm
2010-11-04,Estaquitas - Comisaría Nº 27,---mm
2010-11-04,La Lila - Particular,---mm
2010-11-04,La Paz - Comisaría 1º,---mm
2010-11-04,La Paz - Subprefectura,---mm
2010-11-04,Las Toscas - Destacamento Nº 54,---mm
2010-11-04,Paso Telegrafo - Puesto Caminero,---mm
2010-11-04,Piedras Blancas,---mm
2010-11-04,San Gustavo - Comisaría,---mm
2010-11-04,Santa Elena - Prefectura,---mm
2010-11-04,Tacuara Ombú - Comisaría Nº 24,---mm
2010-11-04,Tacuara Yacaré - Comisaría Nº 23,---mm
2010-11-04,Villa Alcaraz - Comisaría,---mm
2010-11-04,Yeso Oeste -  Subcomisaría Nº 26,---mm
2010-11-08,Alcaraz Sur - Destacamento,---mm
2010-11-08,Bovril - Comisaría,---mm
2010-11-08,Colonia Avigdor,---mm
2010-11-08,Colonia Oficial Nº 3,---mm
2010-11-08,El Carmen - Yeso Oeste,---mm
2010-11-08,El Quebracho - Destacamento Santa Elena,---mm
2010-11-08,Estacas - Destacamento 53,---mm
2010-11-08,Estaquitas - Comisaría Nº 27,---mm
2010-11-08,La Lila - Particular,---mm
2010-11-08,La Paz - Comisaría 1º,---mm
2010-11-08,La Paz - Subprefectura,---mm
2010-11-08,Las Toscas - Destacamento Nº 54,---mm
2010-11-08,Paso Telegrafo - Puesto Caminero,---mm
2010-11-08,Piedras Blancas,---mm
2010-11-08,San Gustavo - Comisaría,---mm
2010-11-08,Santa Elena - Prefectura,---mm
2010-11-08,Tacuara Ombú - Comisaría Nº 24,---mm
2010-11-08,Tacuara Yacaré - Comisaría Nº 23,---mm
2010-11-08,Villa Alcaraz - Comisaría,---mm
2010-11-08,Yeso Oeste -  Subcomisaría Nº 26,---mm
2010-11-19,Alcaraz Sur - Destacamento,7mm
2010-11-19,Bovril - Comisaría,8mm
2010-11-19,Colonia Avigdor,---mm
2010-11-19,Colonia Oficial Nº 3,---mm
2010-11-19,El Carmen - Yeso Oeste,5mm
2010-11-19,El Quebracho - Destacamento Santa Elena,---mm
2010-11-19,Estacas - Destacamento 53,6mm
2010-11-19,Estaquitas - Comisaría Nº 27,6mm
2010-11-19,La Lila - Particular,---mm
2010-11-19,La Paz - Comisaría 1º,7mm
2010-11-19,La Paz - Subprefectura,7mm
2010-11-19,Las Toscas - Destacamento Nº 54,3mm
2010-11-19,Paso Telegrafo - Puesto Caminero,2mm
2010-11-19,Piedras Blancas,---mm
2010-11-19,San Gustavo - Comisaría,10mm
2010-11-19,Santa Elena - Prefectura,8mm
2010-11-19,Tacuara Ombú - Comisaría Nº 24,4mm
2010-11-19,Tacuara Yacaré - Comisaría Nº 23,3mm
2010-11-19,Villa Alcaraz - Comisaría,7mm
2010-11-19,Yeso Oeste -  Subcomisaría Nº 26,6mm
2010-11-24,Alcaraz Sur - Destacamento,---mm
2010-11-24,Bovril - Comisaría,---mm
2010-11-24,Colonia Avigdor,---mm
2010-11-24,Colonia Oficial Nº 3,---mm
2010-11-24,El Carmen - Yeso Oeste,---mm
2010-11-24,El Quebracho - Destacamento Santa Elena,---mm
2010-11-24,Estacas - Destacamento 53,---mm
2010-11-24,Estaquitas - Comisaría Nº 27,---mm
2010-11-24,La Lila - Particular,---mm
2010-11-24,La Paz - Comisaría 1º,---mm
2010-11-24,La Paz - Subprefectura,---mm
2010-11-24,Las Toscas - Destacamento Nº 54,---mm
2010-11-24,Paso Telegrafo - Puesto Caminero,---mm
2010-11-24,Piedras Blancas,---mm
2010-11-24,San Gustavo - Comisaría,---mm
2010-11-24,Santa Elena - Prefectura,---mm
2010-11-24,Tacuara Ombú - Comisaría Nº 24,---mm
2010-11-24,Tacuara Yacaré - Comisaría Nº 23,---mm
2010-11-24,Villa Alcaraz - Comisaría,---mm
2010-11-24,Yeso Oeste -  Subcomisaría Nº 26,---mm
2010-11-27,Alcaraz Sur - Destacamento,---mm
2010-11-27,Bovril - Comisaría,---mm
2010-11-27,Colonia Avigdor,---mm
2010-11-27,Colonia Oficial Nº 3,---mm
2010-11-27,El Carmen - Yeso Oeste,---mm
2010-11-27,El Quebracho - Destacamento Santa Elena,---mm
2010-11-27,Estacas - Destacamento 53,---mm
2010-11-27,Estaquitas - Comisaría Nº 27,---mm
2010-11-27,La Lila - Particular,---mm
2010-11-27,La Paz - Comisaría 1º,---mm
2010-11-27,La Paz - Subprefectura,---mm
2010-11-27,Las Toscas - Destacamento Nº 54,---mm
2010-11-27,Paso Telegrafo - Puesto Caminero,---mm
2010-11-27,Piedras Blancas,---mm
2010-11-27,San Gustavo - Comisaría,---mm
2010-11-27,Santa Elena - Prefectura,---mm
2010-11-27,Tacuara Ombú - Comisaría Nº 24,---mm
2010-11-27,Tacuara Yacaré - Comisaría Nº 23,---mm
2010-11-27,Villa Alcaraz - Comisaría,---mm
2010-11-27,Yeso Oeste -  Subcomisaría Nº 26,---mm
2010-12-02,Alcaraz Sur - Destacamento,---mm
2010-12-02,Bovril - Comisaría,---mm
2010-12-02,Colonia Avigdor,---mm
2010-12-02,Colonia Oficial Nº 3,---mm
2010-12-02,El Carmen - Yeso Oeste,---mm
2010-12-02,El Quebracho - Destacamento Santa Elena,---mm
2010-12-02,Estacas - Destacamento 53,---mm
2010-12-02,Estaquitas - Comisaría Nº 27,---mm
2010-12-02,La Lila - Particular,---mm
2010-12-02,La Paz - Comisaría 1º,---mm
2010-12-02,La Paz - Subprefectura,---mm
2010-12-02,Las Toscas - Destacamento Nº 54,---mm
2010-12-02,Paso Telegrafo - Puesto Caminero,---mm
2010-12-02,Piedras Blancas,---mm
2010-12-02,San Gustavo - Comisaría,---mm
2010-12-02,Santa Elena - Prefectura,---mm
2010-12-02,Tacuara Ombú - Comisaría Nº 24,---mm
2010-12-02,Tacuara Yacaré - Comisaría Nº 23,---mm
2010-12-02,Villa Alcaraz - Comisaría,---mm
2010-12-02,Yeso Oeste -  Subcomisaría Nº 26,---mm
2010-12-04,Alcaraz Sur - Destacamento,---mm
2010-12-04,Bovril - Comisaría,---mm
2010-12-04,Colonia Avigdor,---mm
2010-12-04,Colonia Oficial Nº 3,---mm
2010-12-04,El Carmen - Yeso Oeste,---mm
2010-12-04,El Quebracho - Destacamento Santa Elena,---mm
2010-12-04,Estacas - Destacamento 53,---mm
2010-12-04,Estaquitas - Comisaría Nº 27,---mm
2010-12-04,La Lila - Particular,---mm
2010-12-04,La Paz - Comisaría 1º,---mm
2010-12-04,La Paz - Subprefectura,---mm
2010-12-04,Las Toscas - Destacamento Nº 54,---mm
2010-12-04,Paso Telegrafo - Puesto Caminero,---mm
2010-12-04,Piedras Blancas,---mm
2010-12-04,San Gustavo - Comisaría,---mm
2010-12-04,Santa Elena - Prefectura,---mm
2010-12-04,Tacuara Ombú - Comisaría Nº 24,---mm
2010-12-04,Tacuara Yacaré - Comisaría Nº 23,---mm
2010-12-04,Villa Alcaraz - Comisaría,---mm
2010-12-04,Yeso Oeste -  Subcomisaría Nº 26,---mm
2010-12-10,Alcaraz Sur - Destacamento,---mm
2010-12-10,Bovril - Comisaría,---mm
2010-12-10,Colonia Avigdor,---mm
2010-12-10,Colonia Oficial Nº 3,---mm
