fecha,Estación,Precipitación
2010-11-24,Rosario del Tala - OSM,---mm
2010-11-24,Sauce Norte,---mm
2010-11-24,Tala - Ciudad,---mm
2010-11-27,Durazno - Comisaría,---mm
2010-11-27,Gdor Echagüe - Comisaría,---mm
2010-11-27,Gdor Mansilla - Comisaría,---mm
2010-11-27,Gdor. Maciá - Comisaría,---mm
2010-11-27,Rosario del Tala - OSM,---mm
2010-11-27,Sauce Norte,---mm
2010-11-27,Tala - Ciudad,---mm
2010-12-02,Durazno - Comisaría,8mm
2010-12-02,Gdor Echagüe - Comisaría,13mm
2010-12-02,Gdor Mansilla - Comisaría,5mm
2010-12-02,Gdor. Maciá - Comisaría,29mm
2010-12-02,Rosario del Tala - OSM,11mm
2010-12-02,Sauce Norte,9mm
2010-12-02,Tala - Ciudad,11mm
2010-12-04,Durazno - Comisaría,---mm
2010-12-04,Gdor Echagüe - Comisaría,---mm
2010-12-04,Gdor Mansilla - Comisaría,---mm
2010-12-04,Gdor. Maciá - Comisaría,---mm
2010-12-04,Rosario del Tala - OSM,---mm
2010-12-04,Sauce Norte,---mm
2010-12-04,Tala - Ciudad,---mm
2010-12-10,Durazno - Comisaría,4mm
2010-12-10,Gdor Echagüe - Comisaría,5mm
2010-12-10,Gdor Mansilla - Comisaría,8mm
2010-12-10,Gdor. Maciá - Comisaría,5mm
2010-12-10,Rosario del Tala - OSM,5mm
2010-12-10,Sauce Norte,4mm
2010-12-10,Tala - Ciudad,5mm
2010-12-11,Durazno - Comisaría,---mm
2010-12-11,Gdor Echagüe - Comisaría,5mm
2010-12-11,Gdor Mansilla - Comisaría,8mm
2010-12-11,Gdor. Maciá - Comisaría,---mm
2010-12-11,Rosario del Tala - OSM,---mm
2010-12-11,Sauce Norte,10mm
2010-12-11,Tala - Ciudad,---mm
2010-12-12,Durazno - Comisaría,2mm
2010-12-12,Gdor Echagüe - Comisaría,3mm
2010-12-12,Gdor Mansilla - Comisaría,2mm
2010-12-12,Gdor. Maciá - Comisaría,1mm
2010-12-12,Rosario del Tala - OSM,2mm
2010-12-12,Sauce Norte,5mm
2010-12-12,Tala - Ciudad,2mm
2010-12-18,Durazno - Comisaría,6mm
2010-12-18,Gdor Echagüe - Comisaría,27mm
2010-12-18,Gdor Mansilla - Comisaría,11mm
2010-12-18,Gdor. Maciá - Comisaría,20mm
2010-12-18,Rosario del Tala - OSM,15mm
2010-12-18,Sauce Norte,11mm
2010-12-18,Tala - Ciudad,15mm
2010-12-19,Durazno - Comisaría,33mm
2010-12-19,Gdor Echagüe - Comisaría,9mm
2010-12-19,Gdor Mansilla - Comisaría,4mm
2010-12-19,Gdor. Maciá - Comisaría,21mm
2010-12-19,Rosario del Tala - OSM,8mm
2010-12-19,Sauce Norte,4mm
2010-12-19,Tala - Ciudad,8mm
2011-01-25,Durazno - Comisaría,27mm
2011-01-25,Gdor Echagüe - Comisaría,4mm
2011-01-25,Gdor Mansilla - Comisaría,25mm
2011-01-25,Gdor. Maciá - Comisaría,13mm
2011-01-25,Rosario del Tala - OSM,5mm
2011-01-25,Sauce Norte,8mm
2011-01-25,Tala - Ciudad,5mm
2011-01-27,Durazno - Comisaría,---mm
2011-01-27,Gdor Echagüe - Comisaría,---mm
2011-01-27,Gdor Mansilla - Comisaría,---mm
2011-01-27,Gdor. Maciá - Comisaría,---mm
2011-01-27,Rosario del Tala - OSM,---mm
2011-01-27,Sauce Norte,---mm
2011-01-27,Tala - Ciudad,---mm
2011-01-28,Durazno - Comisaría,---mm
2011-01-28,Gdor Echagüe - Comisaría,---mm
2011-01-28,Gdor Mansilla - Comisaría,---mm
2011-01-28,Gdor. Maciá - Comisaría,---mm
2011-01-28,Rosario del Tala - OSM,---mm
2011-01-28,Sauce Norte,---mm
2011-01-28,Tala - Ciudad,---mm
2011-02-07,Durazno - Comisaría,40mm
2011-02-07,Gdor Echagüe - Comisaría,40mm
2011-02-07,Gdor Mansilla - Comisaría,47mm
2011-02-07,Gdor. Maciá - Comisaría,49mm
2011-02-07,Rosario del Tala - OSM,35mm
2011-02-07,Sauce Norte,57mm
2011-02-07,Tala - Ciudad,35mm
2011-02-09,Durazno - Comisaría,0mm
2011-02-09,Gdor Echagüe - Comisaría,0mm
2011-02-09,Gdor Mansilla - Comisaría,0mm
2011-02-09,Gdor. Maciá - Comisaría,5mm
2011-02-09,Rosario del Tala - OSM,3mm
2011-02-09,Sauce Norte,0mm
2011-02-09,Tala - Ciudad,3mm
2011-02-12,Durazno - Comisaría,---mm
2011-02-12,Gdor Echagüe - Comisaría,---mm
2011-02-12,Gdor Mansilla - Comisaría,---mm
2011-02-12,Gdor. Maciá - Comisaría,---mm
2011-02-12,Rosario del Tala - OSM,---mm
2011-02-12,Sauce Norte,---mm
2011-02-12,Tala - Ciudad,---mm
2011-02-18,Durazno - Comisaría,---mm
2011-02-18,Gdor Echagüe - Comisaría,---mm
