fecha,Estación,Precipitación
2010-09-28,Aldea San Antonio (Scheffer),---mm
2010-09-28,Costa Río Uruguay - Comisaría,---mm
2010-09-28,Costa San Antonio,---mm
2010-09-28,Cuchilla Redonda - Comisaría,---mm
2010-09-28,Escriña - Destacamento,---mm
2010-09-28,Estación Gilbert - Comisaría,---mm
2010-09-28,Faustino M. Parera - Destacamento,---mm
2010-09-28,Gchú - Ciudad - Municipalidad,---mm
2010-09-28,Gral. Almada - Comisaría,---mm
2010-09-28,Irazusta - Subcomisaría,---mm
2010-09-28,Pastor Britos,---mm
2010-09-28,Pehuajó Sur - Subcomisaría,---mm
2010-09-28,Perdices,---mm
2010-09-28,Rincón del Gato - Comisaría,---mm
2010-09-28,Talitas - Subcomisaría,---mm
2010-10-01,Alarcón - Destacamento,---mm
2010-10-01,Aldea San Antonio (Scheffer),---mm
2010-10-01,Costa Río Uruguay - Comisaría,---mm
2010-10-01,Costa San Antonio,---mm
2010-10-01,Cuchilla Redonda - Comisaría,---mm
2010-10-01,Escriña - Destacamento,---mm
2010-10-01,Estación Gilbert - Comisaría,---mm
2010-10-01,Faustino M. Parera - Destacamento,---mm
2010-10-01,Gchú - Ciudad - Municipalidad,---mm
2010-10-01,Gral. Almada - Comisaría,---mm
2010-10-01,Irazusta - Subcomisaría,---mm
2010-10-01,Pastor Britos,---mm
2010-10-01,Pehuajó Sur - Subcomisaría,---mm
2010-10-01,Perdices,---mm
2010-10-01,Rincón del Gato - Comisaría,---mm
2010-10-01,Talitas - Subcomisaría,---mm
2010-10-06,Alarcón - Destacamento,---mm
2010-10-06,Aldea San Antonio (Scheffer),---mm
2010-10-06,Costa Río Uruguay - Comisaría,---mm
2010-10-06,Costa San Antonio,---mm
2010-10-06,Cuchilla Redonda - Comisaría,---mm
2010-10-06,Escriña - Destacamento,---mm
2010-10-06,Estación Gilbert - Comisaría,---mm
2010-10-06,Faustino M. Parera - Destacamento,---mm
2010-10-06,Gchú - Ciudad - Municipalidad,---mm
2010-10-06,Gral. Almada - Comisaría,---mm
2010-10-06,Irazusta - Subcomisaría,---mm
2010-10-06,Pastor Britos,---mm
2010-10-06,Pehuajó Sur - Subcomisaría,---mm
2010-10-06,Perdices,---mm
2010-10-06,Rincón del Gato - Comisaría,---mm
2010-10-06,Talitas - Subcomisaría,---mm
2010-10-14,Alarcón - Destacamento,---mm
2010-10-14,Aldea San Antonio (Scheffer),---mm
2010-10-14,Costa Río Uruguay - Comisaría,---mm
2010-10-14,Costa San Antonio,---mm
2010-10-14,Cuchilla Redonda - Comisaría,---mm
2010-10-14,Escriña - Destacamento,---mm
2010-10-14,Estación Gilbert - Comisaría,---mm
2010-10-14,Faustino M. Parera - Destacamento,---mm
2010-10-14,Gchú - Ciudad - Municipalidad,---mm
2010-10-14,Gral. Almada - Comisaría,---mm
2010-10-14,Irazusta - Subcomisaría,---mm
2010-10-14,Pastor Britos,---mm
2010-10-14,Pehuajó Sur - Subcomisaría,---mm
2010-10-14,Perdices,---mm
2010-10-14,Rincón del Gato - Comisaría,---mm
2010-10-14,Talitas - Subcomisaría,---mm
2010-10-22,Alarcón - Destacamento,---mm
2010-10-22,Aldea San Antonio (Scheffer),---mm
2010-10-22,Costa Río Uruguay - Comisaría,---mm
2010-10-22,Costa San Antonio,---mm
2010-10-22,Cuchilla Redonda - Comisaría,---mm
2010-10-22,Escriña - Destacamento,---mm
2010-10-22,Estación Gilbert - Comisaría,---mm
2010-10-22,Faustino M. Parera - Destacamento,---mm
2010-10-22,Gchú - Ciudad - Municipalidad,---mm
2010-10-22,Gral. Almada - Comisaría,---mm
2010-10-22,Irazusta - Subcomisaría,---mm
2010-10-22,Pastor Britos,---mm
2010-10-22,Pehuajó Sur - Subcomisaría,---mm
2010-10-22,Perdices,---mm
2010-10-22,Rincón del Gato - Comisaría,---mm
2010-10-22,Talitas - Subcomisaría,---mm
2010-10-29,Alarcón - Destacamento,---mm
2010-10-29,Aldea San Antonio (Scheffer),---mm
2010-10-29,Costa Río Uruguay - Comisaría,---mm
2010-10-29,Costa San Antonio,---mm
2010-10-29,Cuchilla Redonda - Comisaría,---mm
2010-10-29,Escriña - Destacamento,---mm
2010-10-29,Estación Gilbert - Comisaría,---mm
2010-10-29,Faustino M. Parera - Destacamento,---mm
2010-10-29,Gchú - Ciudad - Municipalidad,---mm
2010-10-29,Gral. Almada - Comisaría,---mm
2010-10-29,Irazusta - Subcomisaría,---mm
2010-10-29,Pastor Britos,---mm
2010-10-29,Pehuajó Sur - Subcomisaría,---mm
2010-10-29,Perdices,---mm
2010-10-29,Rincón del Gato - Comisaría,---mm
2010-10-29,Talitas - Subcomisaría,---mm
2010-11-04,Alarcón - Destacamento,---mm
2010-11-04,Aldea San Antonio (Scheffer),---mm
2010-11-04,Costa Río Uruguay - Comisaría,---mm
2010-11-04,Costa San Antonio,---mm
2010-11-04,Cuchilla Redonda - Comisaría,---mm
2010-11-04,Escriña - Destacamento,---mm
2010-11-04,Estación Gilbert - Comisaría,---mm
2010-11-04,Faustino M. Parera - Destacamento,---mm
2010-11-04,Gchú - Ciudad - Municipalidad,---mm
2010-11-04,Gral. Almada - Comisaría,---mm
2010-11-04,Irazusta - Subcomisaría,---mm
2010-11-04,Pastor Britos,---mm
2010-11-04,Pehuajó Sur - Subcomisaría,---mm
2010-11-04,Perdices,---mm
2010-11-04,Rincón del Gato - Comisaría,---mm
2010-11-04,Talitas - Subcomisaría,---mm
2010-11-08,Alarcón - Destacamento,---mm
2010-11-08,Aldea San Antonio (Scheffer),10mm
2010-11-08,Costa Río Uruguay - Comisaría,---mm
2010-11-08,Costa San Antonio,---mm
2010-11-08,Cuchilla Redonda - Comisaría,---mm
2010-11-08,Escriña - Destacamento,---mm
2010-11-08,Estación Gilbert - Comisaría,15mm
2010-11-08,Faustino M. Parera - Destacamento,---mm
2010-11-08,Gchú - Ciudad - Municipalidad,---mm
2010-11-08,Gral. Almada - Comisaría,---mm
2010-11-08,Irazusta - Subcomisaría,3mm
2010-11-08,Pastor Britos,---mm
2010-11-08,Pehuajó Sur - Subcomisaría,---mm
2010-11-08,Perdices,15mm
2010-11-08,Rincón del Gato - Comisaría,---mm
2010-11-08,Talitas - Subcomisaría,---mm
2010-11-19,Alarcón - Destacamento,---mm
2010-11-19,Aldea San Antonio (Scheffer),---mm
2010-11-19,Costa Río Uruguay - Comisaría,---mm
2010-11-19,Costa San Antonio,---mm
2010-11-19,Cuchilla Redonda - Comisaría,---mm
2010-11-19,Escriña - Destacamento,---mm
2010-11-19,Estación Gilbert - Comisaría,---mm
2010-11-19,Faustino M. Parera - Destacamento,---mm
2010-11-19,Gchú - Ciudad - Municipalidad,---mm
2010-11-19,Gral. Almada - Comisaría,---mm
2010-11-19,Irazusta - Subcomisaría,---mm
2010-11-19,Pastor Britos,---mm
2010-11-19,Pehuajó Sur - Subcomisaría,---mm
2010-11-19,Perdices,---mm
2010-11-19,Rincón del Gato - Comisaría,---mm
2010-11-19,Talitas - Subcomisaría,---mm
2010-11-24,Alarcón - Destacamento,---mm
2010-11-24,Aldea San Antonio (Scheffer),---mm
2010-11-24,Costa Río Uruguay - Comisaría,---mm
2010-11-24,Costa San Antonio,---mm
2010-11-24,Cuchilla Redonda - Comisaría,---mm
2010-11-24,Escriña - Destacamento,---mm
2010-11-24,Estación Gilbert - Comisaría,---mm
2010-11-24,Faustino M. Parera - Destacamento,---mm
2010-11-24,Gchú - Ciudad - Municipalidad,---mm
2010-11-24,Gral. Almada - Comisaría,---mm
2010-11-24,Irazusta - Subcomisaría,---mm
2010-11-24,Pastor Britos,---mm
2010-11-24,Pehuajó Sur - Subcomisaría,---mm
2010-11-24,Perdices,---mm
2010-11-24,Rincón del Gato - Comisaría,---mm
2010-11-24,Talitas - Subcomisaría,---mm
2010-11-27,Alarcón - Destacamento,---mm
2010-11-27,Aldea San Antonio (Scheffer),---mm
2010-11-27,Costa Río Uruguay - Comisaría,---mm
2010-11-27,Costa San Antonio,---mm
2010-11-27,Cuchilla Redonda - Comisaría,---mm
2010-11-27,Escriña - Destacamento,---mm
